district_code,district_name,total_population,age_0_20_pct,age_21_40_pct,age_41_60_pct,age_61_75_pct,age_75_plus_pct
01001,"Flensburg, kreisfreie Stadt",96326.0,17.69,30.95,24.56,16.47,10.34
01002,"Kiel, kreisfreie Stadt",252668.0,16.75,33.19,24.12,16.03,9.91
01003,"Lübeck, kreisfreie Stadt",216889.0,16.89,26.05,25.97,18.61,12.48
01004,"Neumünster, kreisfreie Stadt",79809.0,18.16,24.93,26.24,18.81,11.86
01051,"Dithmarschen, Landkreis",133460.0,17.62,21.28,26.24,22.05,12.81
01053,"Herzogtum Lauenburg, Landkreis",206235.0,19.65,20.96,28.04,19.49,11.86
01054,"Nordfriesland, Landkreis",170029.0,17.6,21.38,26.78,21.69,12.56
01055,"Ostholstein, Landkreis",201472.0,15.89,18.77,27.28,23.5,14.56
01056,"Pinneberg, Landkreis",325223.0,19.09,21.87,28.39,18.76,11.89
01057,"Plön, Landkreis",130609.0,17.98,18.5,27.14,22.0,14.38
01058,"Rendsburg-Eckernförde, Landkreis",278058.0,18.74,20.45,27.54,20.88,12.39
01059,"Schleswig-Flensburg, Landkreis",205472.0,19.16,20.44,26.65,21.24,12.51
01060,"Segeberg, Landkreis",283562.0,19.02,22.11,28.46,18.85,11.56
01061,"Steinburg, Landkreis",132731.0,18.19,21.86,27.19,20.89,11.87
01062,"Stormarn, Landkreis",246974.0,19.63,19.62,28.77,19.17,12.81
02000,"Hamburg, kreisfreie Stadt",1862565.0,18.9,29.67,27.12,14.87,9.43
03101,"Braunschweig, kreisfreie Stadt",252962.0,16.55,29.44,25.62,17.09,11.3
03102,"Salzgitter, kreisfreie Stadt",104970.0,20.68,23.64,25.33,19.0,11.35
03103,"Wolfsburg, kreisfreie Stadt",129560.0,19.72,24.95,26.09,17.86,11.38
03151,"Gifhorn, Landkreis",175943.0,20.66,21.19,27.32,20.79,10.05
03152,"Göttingen, Landkreis (bis 31.10.2016)",0.0,,,,,
03153,"Goslar, Landkreis",126775.0,15.86,21.1,26.0,22.57,14.48
03154,"Helmstedt, Landkreis",90227.0,18.41,20.94,27.36,21.51,11.78
03155,"Northeim, Landkreis",125623.0,17.32,20.53,26.15,23.01,12.99
