year,age,population
1950,0,1054000.0
1950,1,1010000.0
1950,2,942000.0
1950,3,899000.0
1950,4,791000.0
1950,5,748000.0
1950,6,1004000.0
1950,7,1023000.0
1950,8,1036000.0
1950,9,1239000.0
1950,10,1352000.0
1950,11,1332000.0
1950,12,1252000.0
1950,13,1188000.0
1950,14,1185000.0
1950,15,1180000.0
1950,16,1090000.0
1950,17,899000.0
1950,18,914000.0
1950,19,945000.0
1950,20,1020000.0
1950,21,1006000.0
1950,22,1015000.0
1950,23,957000.0
1950,24,953000.0
1950,25,977000.0
1950,26,909000.0
1950,27,919000.0
1950,28,989000.0
1950,29,1042000.0
1950,30,1084000.0
1950,31,752000.0
1950,32,539000.0
1950,33,531000.0
1950,34,592000.0
1950,35,817000.0
1950,36,1013000.0
1950,37,1055000.0
1950,38,1090000.0
1950,39,1049000.0
1950,40,1100000.0
1950,41,1134000.0
1950,42,1136000.0
1950,43,1131000.0
1950,44,1121000.0
1950,45,1122000.0
1950,46,1119000.0
1950,47,1083000.0
1950,48,1106000.0
1950,49,1071000.0
1950,50,1038000.0
1950,51,993000.0
1950,52,959000.0
1950,53,906000.0
1950,54,889000.0
1950,55,840000.0
1950,56,808000.0
1950,57,784000.0
1950,58,750000.0
1950,59,743000.0
1950,60,714000.0
1950,61,700000.0
1950,62,680000.0
1950,63,656000.0
1950,64,623000.0
1950,65,604000.0
1950,66,572000.0
1950,67,539000.0
1950,68,519000.0
1950,69,489000.0
1950,70,470000.0
1950,71,450000.0
1950,72,426000.0
1950,73,392000.0
1950,74,365000.0
1950,75,327000.0
1950,76,284000.0
1950,77,244000.0
1950,78,212000.0
1950,79,160000.0
1950,80,154000.0
1950,81,125000.0
1950,82,100000.0
1950,83,79000.0
1950,84,66000.0
1950,85,48000.0
1950,86,38000.0
1950,87,28000.0
1950,88,19000.0
1950,89,13000.0
1950,90,0.0
1950,91,0.0
1950,92,0.0
1950,93,0.0
1950,94,0.0
1950,95,0.0
1950,96,0.0
1950,97,0.0
1950,98,0.0
1950,99,0.0
1951,0,1054000.0
1951,1,1042000.0
1951,2,1015000.0
1951,3,949000.0
1951,4,899000.0
1951,5,800000.0
1951,6,728000.0
1951,7,995000.0
1951,8,1022000.0
1951,9,1009000.0
1951,10,1247000.0
1951,11,1350000.0
1951,12,1336000.0
1951,13,1253000.0
1951,14,1188000.0
1951,15,1189000.0
1951,16,1178000.0
1951,17,1114000.0
1951,18,901000.0
1951,19,915000.0
1951,20,942000.0
1951,21,1023000.0
1951,22,1005000.0
1951,23,1022000.0
1951,24,957000.0
1951,25,954000.0
1951,26,980000.0
1951,27,912000.0
1951,28,916000.0
1951,29,979000.0
1951,30,1041000.0
1951,31,1071000.0
1951,32,800000.0
1951,33,544000.0
1951,34,524000.0
1951,35,583000.0
1951,36,790000.0
1951,37,1007000.0
1951,38,1047000.0
1951,39,1086000.0
1951,40,1043000.0
1951,41,1096000.0
1951,42,1131000.0
1951,43,1132000.0
1951,44,1124000.0
1951,45,1118000.0
1951,46,1117000.0
1951,47,1116000.0
1951,48,1075000.0
1951,49,1098000.0
1951,50,1069000.0
1951,51,1034000.0
1951,52,984000.0
1951,53,954000.0
1951,54,895000.0
1951,55,890000.0
1951,56,835000.0
1951,57,799000.0
1951,58,776000.0
1951,59,734000.0
1951,60,742000.0
1951,61,704000.0
1951,62,692000.0
1951,63,660000.0
1951,64,637000.0
1951,65,623000.0
1951,66,597000.0
1951,67,558000.0
1951,68,515000.0
1951,69,492000.0
1951,70,486000.0
1951,71,457000.0
1951,72,427000.0
1951,73,395000.0
1951,74,354000.0
1951,75,360000.0
1951,76,313000.0
1951,77,259000.0
1951,78,213000.0
1951,79,182000.0
1951,80,150000.0
1951,81,136000.0
1951,82,108000.0
