latitude,longitude
52.074235,-3.122539
52.075439,-3.126106
52.07242,-3.129172
53.177792,-2.93145
53.176331,-2.942216
52.073307,-3.127713
52.045737,-3.203271
53.164693,-2.986975
52.087681,-3.148076
52.076116,-3.125953
52.726705,-2.976672
53.144826,-3.047831
53.169498,-2.976122
53.171339,-2.973405
52.952875,-2.812162
52.732868,-2.997078
52.729155,-3.021948
52.066762,-3.179571
52.242898,-4.260506
52.243644,-4.260363
52.243062,-4.257306
52.415063,-4.085862
52.412761,-4.086344
52.413379,-4.085961
52.414729,-4.085392
52.414566,-4.081699
51.800778,-3.896879
51.792204,-4.030761
51.787165,-3.985136
51.817914,-3.861935
51.811683,-3.981179
51.684771,-4.249056
51.690015,-4.244614
51.684177,-4.250695
52.055769,-4.634892
52.084356,-4.660271
52.054223,-4.622824
52.054286,-4.659418
52.082603,-4.657862
52.083308,-4.660925
52.08363,-4.661086
51.86605,-4.26849
51.814082,-4.496058
51.764732,-4.471392
51.853527,-4.325855
51.854717,-4.307311
51.857616,-4.309692
51.857082,-4.308248
51.874879,-4.3519
51.856334,-4.305538
51.856907,-4.303987
51.85168,-4.326046
51.856983,-4.310983
51.85813,-4.312426
51.993482,-4.97698
51.994121,-4.974451
51.800186,-4.966812
51.803671,-4.970996
51.88077,-5.268135
51.801878,-4.972909
51.802494,-4.962055
51.799852,-4.971558
51.796051,-4.976643
51.801503,-4.968866
51.736767,-4.307697
51.748921,-4.341349
51.747853,-4.341849
51.73659,-4.305571
51.740951,-4.306927
51.736978,-4.303869
51.732503,-4.715216
51.875318,-3.993887
51.993997,-3.794236
51.995147,-3.802256
52.039418,-4.311345
51.699746,-4.143975
51.668597,-4.151598
51.686957,-4.199282
51.684169,-4.154731
51.686846,-4.160141
51.686646,-4.204453
51.673925,-4.169059
51.675595,-4.157094
51.695464,-4.08348
51.673987,-4.103833
51.793157,-4.133066
51.678413,-4.117641
51.68425,-4.164939
51.684681,-4.160229
51.665275,-4.086334
51.684623,-4.16061
51.685727,-4.106065
51.682534,-4.174643
51.684862,-4.124517
51.681263,-4.14817
51.756401,-4.221206
51.690286,-4.167106
51.679979,-4.155879
51.68423,-4.17113
51.699916,-4.143717
51.938287,-3.882889
51.712781,-5.036228
51.711745,-5.024249
51.713163,-5.052509
