year,Youth_Dependency_Ratio,Old_Age_Dependency_Ratio,Total_Dependency_Ratio,Scenario
1950,50.8,16.2,67.0,Baseline (Retirement 65)
1951,50.9,16.7,67.5,Baseline (Retirement 65)
1952,51.1,17.1,68.2,Baseline (Retirement 65)
1953,51.4,17.4,68.8,Baseline (Retirement 65)
1954,50.9,17.7,68.6,Baseline (Retirement 65)
1955,50.2,18.0,68.2,Baseline (Retirement 65)
1956,49.6,18.2,67.8,Baseline (Retirement 65)
1957,49.6,18.6,68.2,Baseline (Retirement 65)
1958,48.9,18.9,67.8,Baseline (Retirement 65)
1959,48.1,19.0,67.2,Baseline (Retirement 65)
1960,47.3,19.2,66.4,Baseline (Retirement 65)
1961,46.8,19.7,66.5,Baseline (Retirement 65)
1962,47.3,20.0,67.3,Baseline (Retirement 65)
1963,47.8,20.5,68.3,Baseline (Retirement 65)
1964,48.6,21.0,69.6,Baseline (Retirement 65)
1965,50.1,21.7,71.7,Baseline (Retirement 65)
1966,51.5,22.4,73.9,Baseline (Retirement 65)
1967,52.6,23.2,75.9,Baseline (Retirement 65)
1968,53.3,23.6,76.9,Baseline (Retirement 65)
1969,53.3,23.9,77.2,Baseline (Retirement 65)
1970,53.4,24.5,77.9,Baseline (Retirement 65)
1971,53.3,24.9,78.2,Baseline (Retirement 65)
1972,52.9,25.3,78.2,Baseline (Retirement 65)
1973,52.3,25.6,77.9,Baseline (Retirement 65)
1974,51.8,26.2,78.0,Baseline (Retirement 65)
1975,51.2,26.6,77.7,Baseline (Retirement 65)
1976,50.4,26.8,77.2,Baseline (Retirement 65)
1977,49.5,27.2,76.7,Baseline (Retirement 65)
1978,48.7,27.4,76.1,Baseline (Retirement 65)
1979,47.6,27.4,75.0,Baseline (Retirement 65)
1980,46.3,26.8,73.1,Baseline (Retirement 65)
1981,44.8,25.8,70.6,Baseline (Retirement 65)
1982,43.1,24.8,67.9,Baseline (Retirement 65)
1983,41.2,23.8,65.0,Baseline (Retirement 65)
1984,39.5,23.5,63.0,Baseline (Retirement 65)
1985,38.2,23.7,61.8,Baseline (Retirement 65)
1986,37.0,23.7,60.7,Baseline (Retirement 65)
1987,35.8,23.8,59.7,Baseline (Retirement 65)
1988,35.0,23.7,58.7,Baseline (Retirement 65)
1989,34.5,23.5,58.0,Baseline (Retirement 65)
1990,34.2,23.5,57.7,Baseline (Retirement 65)
1991,33.9,23.5,57.5,Baseline (Retirement 65)
1992,33.9,23.6,57.5,Baseline (Retirement 65)
1993,34.0,23.9,57.9,Baseline (Retirement 65)
1994,34.1,24.3,58.4,Baseline (Retirement 65)
1995,34.3,24.6,58.9,Baseline (Retirement 65)
1996,34.3,24.8,59.2,Baseline (Retirement 65)
1997,34.3,25.1,59.4,Baseline (Retirement 65)
1998,34.2,25.3,59.5,Baseline (Retirement 65)
1999,34.2,25.8,60.0,Baseline (Retirement 65)
2000,34.0,26.5,60.5,Baseline (Retirement 65)
2001,33.8,27.5,61.2,Baseline (Retirement 65)
2002,33.5,28.2,61.7,Baseline (Retirement 65)
2003,33.3,29.2,62.5,Baseline (Retirement 65)
2004,33.1,30.4,63.5,Baseline (Retirement 65)
2005,32.9,31.6,64.5,Baseline (Retirement 65)
2006,32.5,32.6,65.1,Baseline (Retirement 65)
2007,32.0,33.1,65.1,Baseline (Retirement 65)
2008,31.5,33.6,65.0,Baseline (Retirement 65)
2009,30.9,34.0,64.9,Baseline (Retirement 65)
2010,30.2,33.8,64.0,Baseline (Retirement 65)
2011,30.2,33.9,64.2,Baseline (Retirement 65)
2012,30.0,34.0,64.0,Baseline (Retirement 65)
2013,29.8,34.2,64.0,Baseline (Retirement 65)
2014,29.9,34.6,64.5,Baseline (Retirement 65)
2015,30.3,34.7,65.0,Baseline (Retirement 65)
2016,30.6,35.1,65.7,Baseline (Retirement 65)
2017,30.6,35.5,66.1,Baseline (Retirement 65)
2018,30.7,35.9,66.5,Baseline (Retirement 65)
2019,30.8,36.3,67.1,Baseline (Retirement 65)
2020,31.0,36.8,67.8,Baseline (Retirement 65)
2021,31.3,37.3,68.6,Baseline (Retirement 65)
2022,31.5,37.6,69.1,Baseline (Retirement 65)
2023,31.7,38.0,69.7,Baseline (Retirement 65)
2024,31.8,38.8,70.6,Baseline (Retirement 65)
2025,31.8,39.7,71.5,Baseline (Retirement 65)
2026,31.8,40.9,72.7,Baseline (Retirement 65)
2027,31.9,42.1,73.9,Baseline (Retirement 65)
2028,31.9,43.4,75.3,Baseline (Retirement 65)
2029,32.0,44.7,76.7,Baseline (Retirement 65)
2030,32.1,46.0,78.1,Baseline (Retirement 65)
2031,32.2,47.3,79.5,Baseline (Retirement 65)
2032,32.3,48.5,80.7,Baseline (Retirement 65)
2033,32.3,49.6,81.9,Baseline (Retirement 65)
2034,32.2,50.5,82.7,Baseline (Retirement 65)
2035,32.0,51.2,83.2,Baseline (Retirement 65)
2036,31.7,51.7,83.4,Baseline (Retirement 65)
2037,31.4,51.9,83.3,Baseline (Retirement 65)
2038,31.0,51.8,82.8,Baseline (Retirement 65)
2039,30.6,51.7,82.4,Baseline (Retirement 65)
2040,30.3,51.6,81.9,Baseline (Retirement 65)
2041,29.9,51.6,81.5,Baseline (Retirement 65)
2042,29.7,51.7,81.4,Baseline (Retirement 65)
2043,29.6,51.8,81.4,Baseline (Retirement 65)
