Jahr,ID,Kategorie,Wert_Euro,Relativer_Wert_Prozent
2012,14,Ministry of Defense,31871857000,10.22845218228498
2012,17,Ministry of Education & Family,7370220000,2.365282413350449
2012,32,Federal Debt Service,32539470000,10.4427053915276
2012,97,Other Health Expenses,302815000,0.09718068035943517
2012,98,Other Labour & Social Expenses,125776138000,40.36461424903723
2012,1102,Subsidies Pension Insurance,354802000,0.1138645699614891
2012,1501,Subsidies Statutory Health Insurance,71587000,0.02297400513478819
2012,1502,Subsidies Long-term Care Insurance,14110980000,4.528555840821566
2012,0,Total Federal Budget,311600000000,100.0
2012,99,Other Federal Budget,99202131000,31.836370667522463
2013,14,Ministry of Defense,33258104000,10.728420645161291
2013,17,Ministry of Education & Family,6881754000,2.2199206451612903
2013,32,Federal Debt Service,32983271000,10.639764838709677
2013,97,Other Health Expenses,302376000,0.09754064516129032
2013,98,Other Labour & Social Expenses,118874642000,38.34665870967741
2013,1102,Subsidies Pension Insurance,354490000,0.1143516129032258
2013,1501,Subsidies Statutory Health Insurance,73097000,0.02357967741935484
2013,1502,Subsidies Long-term Care Insurance,11611389000,3.7456093548387095
2013,0,Total Federal Budget,310000000000,100.0
2013,99,Other Federal Budget,105660877000,34.08415387096774
2014,14,Ministry of Defense,32435376000,10.93941854974705
2014,17,Ministry of Education & Family,7959508000,2.6844883642495785
2014,32,Federal Debt Service,28551743000,9.629592917369308
2014,97,Other Health Expenses,322895000,0.10890219224283304
2014,98,Other Labour & Social Expenses,33550830000,11.31562563237774
2014,1102,Subsidies Pension Insurance,88428480000,29.824107925801012
2014,1501,Subsidies Statutory Health Insurance,84653000,0.028550758853288363
2014,1502,Subsidies Long-term Care Insurance,10645141000,3.590266779089376
2014,0,Total Federal Budget,296500000000,100.0
2014,99,Other Federal Budget,94521374000,31.87904688026981
2015,14,Ministry of Defense,32974183000,10.744275985663082
2015,17,Ministry of Education & Family,8835562000,2.878971000325839
2015,32,Federal Debt Service,22259287000,7.252944607363962
2015,97,Other Health Expenses,310239000,0.10108797653958944
2015,98,Other Labour & Social Expenses,35943656000,11.711846203975236
2015,1102,Subsidies Pension Insurance,90366262000,29.44485565330727
2015,1501,Subsidies Statutory Health Insurance,81231000,0.026468230694037146
2015,1502,Subsidies Long-term Care Insurance,11675450000,3.8043173672205928
2015,0,Total Federal Budget,306900000000,100.0
2015,99,Other Federal Budget,104454130000,34.03523297491039
2016,14,Ministry of Defense,34287847000,10.819768696749763
2016,17,Ministry of Education & Family,9103673000,2.872727358788261
2016,32,Federal Debt Service,21727120000,6.856143893972861
2016,97,Other Health Expenses,523526000,0.16520227201009782
2016,98,Other Labour & Social Expenses,36617812000,11.555005364468286
