year;gender;total_population;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
1950;w;37384;512;492;459;439;387;369;492;500;507;606;663;653;615;583;583;579;536;443;453;470;509;504;510;501;522;551;532;541;578;612;642;440;316;310;347;481;596;612;627;601;630;642;640;627;618;599;596;577;589;569;553;540;534;513;510;487;472;457;435;429;412;402;387;372;353;340;321;301;289;271;261;249;236;216;201;180;157;135;118;89;87;71;58;46;39;29;23;17;12;8;0;0;0;0;0;0;0;0;0;0
1951;w;37587;513;507;495;463;439;392;358;490;502;492;612;662;656;614;584;584;577;551;444;454;469;511;503;514;499;522;552;534;538;570;609;630;477;319;304;341;462;593;608;626;597;628;641;638;622;619;597;595;572;585;570;551;535;531;505;514;486;467;453;424;433;408;399;375;359;360;340;314;286;270;278;259;237;216;189;208;177;142;114;97;87;77;61;47;36;34;24;18;13;9;0;0;0;0;0;0;0;0;0;0
1952;w;37754;514;509;506;495;462;438;392;357;488;503;494;608;660;657;619;584;587;578;549;445;454;467;510;503;512;498;520;550;533;537;569;608;628;476;319;305;341;461;592;606;624;595;626;640;636;620;616;594;593;570;583;565;546;532;529;505;505;479;463;451;425;420;398;393;373;361;339;325;306;283;272;252;240;226;212;192;176;156;133;112;98;70;67;54;43;32;27;19;15;11;0;0;0;0;0;0;0;0;0;0
1953;w;37931;512;511;508;506;495;461;439;392;356;487;506;496;608;657;657;620;583;588;576;550;448;453;467;511;503;512;498;520;550;532;537;569;607;627;475;319;304;340;460;591;605;623;594;625;638;635;619;615;592;590;569;582;562;543;527;530;503;501;473;455;452;423;414;390;380;375;358;331;312;287;286;267;239;223;202;212;181;161;137;109;103;85;62;55;43;37;27;21;14;10;0;0;0;0;0;0;0;0;0;0
1954;w;38099;520;509;510;508;505;494;462;438;392;356;491;504;494;606;661;660;619;583;585;579;553;444;454;467;511;501;511;496;519;548;531;536;568;606;626;475;318;303;339;459;590;604;622;593;624;637;633;617;612;589;589;566;578;558;539;529;524;497;495;468;459;444;415;406;381;388;362;345;318;299;296;268;250;223;207;211;189;161;143;121;113;88;72;51;46;39;29;21;16;11;0;0;0;0;0;0;0;0;0;0
1955;w;38266;521;517;508;510;508;505;495;461;438;391;357;488;503;495;609;661;658;619;585;587;579;550;446;454;466;509;501;510;496;518;548;531;535;567;605;625;474;318;303;339;458;589;603;621;592;622;635;631;614;610;587;586;562;574;556;537;522;518;493;492;466;449;435;409;402;379;372;351;336;313;297;275;252;238;216;203;186;171;150;134;115;94;76;64;44;41;30;23;16;13;0;0;0;0;0;0;0;0;0;0
1956;w;38145;532;513;512;504;506;504;502;490;457;434;388;354;485;499;492;605;656;653;614;579;581;572;544;441;449;462;504;496;505;491;513;543;526;530;562;600;620;470;315;300;336;454;583;597;615;586;616;628;624;607;603;581;579;555;567;548;529;515;511;485;484;458;440;426;400;392;369;361;340;324;300;284;262;238;224;202;188;170;155;134;119;101;81;64;54;36;34;24;18;12;0;0;0;0;0;0;0;0;0;0
1957;w;38385;549;532;517;516;508;510;508;506;495;461;438;391;357;488;503;495;608;659;655;614;575;572;559;531;431;441;453;496;489;499;486;509;540;523;528;561;598;618;469;314;300;336;454;584;598;616;587;617;630;626;609;605;581;579;555;567;548;529;514;509;483;481;454;437;422;395;386;363;354;331;315;291;273;251;227;211;189;175;157;142;120;106;89;70;54;45;29;27;19;14;0;0;0;0;0;0;0;0;0;0
1958;w;38632;555;547;532;518;517;509;512;510;507;496;462;439;392;357;489;504;496;609;659;655;614;575;573;559;531;432;442;454;497;490;500;487;510;540;523;528;561;598;618;470;315;300;336;454;584;597;615;586;616;628;624;607;602;579;577;553;564;544;525;510;505;478;476;448;430;415;387;378;355;344;321;304;279;261;238;214;198;175;161;143;128;107;93;77;59;45;37;24;22;14;0;0;0;0;0;0;0;0;0;0
1959;w;38857;587;552;547;532;518;518;509;512;510;507;496;462;439;392;358;489;504;496;609;659;655;614;575;572;559;531;432;442;454;497;490;500;487;509;540;523;528;561;598;618;469;314;300;336;453;583;596;614;585;614;626;622;604;600;576;574;549;560;540;521;505;499;472;470;442;423;407;379;368;345;334;310;292;267;248;224;200;183;161;147;128;114;93;80;66;49;37;30;19;17;0;0;0;0;0;0;0;0;0;0
