year;gender;total_population;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
1950;m;31962,000;542,000;518,000;483,000;460,000;404,000;379,000;512,000;523,000;529,000;633,000;689,000;679,000;637,000;605,000;602,000;601,000;554,000;456,000;461,000;475,000;511,000;502,000;505,000;456,000;431,000;426,000;377,000;378,000;411,000;430,000;442,000;312,000;223,000;221,000;245,000;336,000;417,000;443,000;463,000;448,000;470,000;492,000;496,000;504,000;503,000;523,000;523,000;506,000;517,000;502,000;485,000;453,000;425,000;393,000;379,000;353,000;336,000;327,000;315,000;314,000;302,000;298,000;293,000;284,000;270,000;264,000;251,000;238,000;230,000;218,000;209,000;201,000;190,000;176,000;164,000;147,000;127,000;109,000;94,000;71,000;67,000;54,000;42,000;33,000;27,000;19,000;15,000;11,000;7,000;5,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1951;m;32198,000;541,000;535,000;520,000;486,000;460,000;408,000;370,000;505,000;520,000;517,000;635,000;688,000;680,000;639,000;604,000;605,000;601,000;563,000;457,000;461,000;473,000;512,000;502,000;508,000;458,000;432,000;428,000;378,000;378,000;409,000;432,000;441,000;323,000;225,000;220,000;242,000;328,000;414,000;439,000;460,000;446,000;468,000;490,000;494,000;502,000;499,000;520,000;521,000;503,000;513,000;499,000;483,000;449,000;423,000;390,000;376,000;349,000;332,000;323,000;310,000;309,000;296,000;293,000;285,000;278,000;263,000;257,000;244,000;229,000;222,000;208,000;198,000;190,000;179,000;165,000;152,000;136,000;117,000;99,000;85,000;63,000;59,000;47,000;36,000;28,000;22,000;16,000;12,000;8,000;6,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1952;m;32409,000;544,000;536,000;533,000;520,000;485,000;458,000;409,000;366,000;506,000;525,000;514,000;634,000;685,000;681,000;640,000;604,000;604,000;599,000;570,000;459,000;463,000;472,000;511,000;500,000;509,000;458,000;432,000;429,000;379,000;377,000;407,000;428,000;433,000;334,000;225,000;218,000;241,000;323,000;414,000;439,000;461,000;444,000;466,000;489,000;492,000;499,000;496,000;518,000;518,000;500,000;509,000;494,000;478,000;445,000;419,000;385,000;372,000;345,000;326,000;318,000;303,000;303,000;289,000;286,000;277,000;271,000;255,000;248,000;236,000;219,000;212,000;198,000;187,000;179,000;167,000;154,000;139,000;124,000;106,000;88,000;76,000;54,000;50,000;39,000;30,000;23,000;18,000;12,000;9,000;6,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1953;m;32635,000;540,000;540,000;535,000;532,000;520,000;485,000;458,000;409,000;366,000;506,000;525,000;514,000;634,000;685,000;681,000;642,000;604,000;605,000;602,000;573,000;462,000;464,000;473,000;512,000;501,000;509,000;458,000;433,000;429,000;379,000;377,000;407,000;428,000;433,000;334,000;225,000;218,000;241,000;323,000;413,000;439,000;460,000;444,000;465,000;488,000;490,000;497,000;494,000;515,000;516,000;497,000;506,000;490,000;474,000;440,000;414,000;381,000;367,000;339,000;321,000;312,000;297,000;296,000;282,000;278,000;270,000;263,000;246,000;239,000;226,000;209,000;201,000;187,000;176,000;166,000;154,000;141,000;126,000;112,000;94,000;77,000;65,000;46,000;42,000;32,000;24,000;18,000;14,000;10,000;6,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1954;m;32846,000;549,000;535,000;539,000;535,000;532,000;519,000;484,000;457,000;409,000;366,000;506,000;525,000;515,000;634,000;685,000;683,000;641,000;603,000;606,000;604,000;574,000;462,000;464,000;473,000;513,000;501,000;509,000;458,000;433,000;429,000;379,000;377,000;406,000;427,000;433,000;334,000;225,000;217,000;241,000;322,000;413,000;438,000;459,000;442,000;463,000;486,000;488,000;495,000;492,000;512,000;512,000;493,000;502,000;486,000;469,000;435,000;409,000;375,000;361,000;334,000;315,000;306,000;291,000;289,000;275,000;271,000;261,000;254,000;237,000;229,000;216,000;199,000;191,000;176,000;164,000;154,000;141,000;128,000;113,000;99,000;84,000;67,000;57,000;39,000;36,000;26,000;19,000;14,000;11,000;6,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1955;m;33084,000;551,000;545,000;535,000;538,000;534,000;531,000;519,000;484,000;457,000;408,000;366,000;506,000;525,000;515,000;634,000;685,000;681,000;641,000;607,000;610,000;606,000;575,000;464,000;466,000;475,000;514,000;502,000;510,000;459,000;434,000;430,000;380,000;377,000;407,000;428,000;433,000;334,000;225,000;217,000;241,000;322,000;412,000;437,000;459,000;441,000;462,000;484,000;486,000;493,000;489,000;510,000;509,000;489,000;497,000;481,000;463,000;430,000;403,000;369,000;355,000;327,000;309,000;299,000;284,000;282,000;267,000;262,000;252,000;244,000;227,000;219,000;205,000;188,000;179,000;164,000;152,000;142,000;129,000;115,000;102,000;88,000;72,000;57,000;47,000;32,000;29,000;21,000;15,000;10,000;8,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1956;m;32799,000;558,000;539,000;535,000;526,000;530,000;527,000;524,000;511,000;476,000;450,000;402,000;361,000;498,000;517,000;507,000;626,000;675,000;672,000;633,000;598,000;601,000;597,000;566,000;457,000;459,000;468,000;506,000;495,000;503,000;452,000;427,000;423,000;374,000;371,000;400,000;421,000;426,000;329,000;221,000;214,000;236,000;316,000;405,000;430,000;450,000;433,000;453,000;475,000;477,000;483,000;479,000;498,000;497,000;476,000;485,000;468,000;451,000;417,000;391,000;358,000;343,000;316,000;297,000;288,000;272,000;270,000;255,000;249,000;239,000;231,000;214,000;205,000;191,000;174,000;165,000;150,000;138,000;127,000;115,000;101,000;88,000;76,000;60,000;47,000;39,000;25,000;23,000;16,000;11,000;7,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1957;m;33090,000;581,000;560,000;546,000;543,000;534,000;538,000;534,000;532,000;519,000;484,000;456,000;407,000;365,000;504,000;523,000;512,000;630,000;680,000;675,000;633,000;593,000;583,000;573,000;543,000;441,000;444,000;453,000;492,000;482,000;491,000;443,000;420,000;418,000;371,000;369,000;398,000;419,000;425,000;328,000;221,000;214,000;237,000;317,000;407,000;431,000;453,000;435,000;456,000;478,000;479,000;485,000;481,000;500,000;499,000;476,000;485,000;468,000;450,000;415,000;388,000;355,000;340,000;312,000;293,000;283,000;267,000;264,000;248,000;242,000;231,000;222,000;205,000;195,000;181,000;163,000;154,000;139,000;127,000;115,000;104,000;90,000;77,000;66,000;51,000;39,000;32,000;20,000;18,000;12,000;8,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1958;m;33399,000;587,000;577,000;561,000;547,000;544,000;535,000;539,000;535,000;533,000;520,000;485,000;457,000;408,000;366,000;505,000;524,000;514,000;632,000;683,000;678,000;636,000;596,000;586,000;576,000;547,000;444,000;447,000;456,000;495,000;484,000;493,000;445,000;421,000;419,000;371,000;370,000;398,000;420,000;425,000;328,000;221,000;214,000;237,000;317,000;406,000;431,000;452,000;434,000;454,000;476,000;477,000;483,000;478,000;496,000;494,000;472,000;480,000;461,000;443,000;408,000;381,000;348,000;333,000;305,000;286,000;275,000;259,000;255,000;239,000;233,000;221,000;211,000;194,000;184,000;169,000;152,000;142,000;126,000;115,000;103,000;92,000;78,000;67,000;56,000;43,000;31,000;26,000;16,000;14,000;9,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1959;m;33686,000;621,000;583,000;577,000;560,000;547,000;545,000;535,000;539,000;536,000;533,000;520,000;485,000;457,000;408,000;366,000;506,000;525,000;514,000;633,000;685,000;680,000;639,000;599,000;588,000;579,000;550,000;447,000;449,000;458,000;497,000;486,000;494,000;446,000;422,000;419,000;372,000;370,000;398,000;420,000;425,000;328,000;221,000;213,000;236,000;317,000;405,000;429,000;450,000;432,000;452,000;473,000;474,000;479,000;473,000;492,000;489,000;466,000;473,000;454,000;435,000;400,000;373,000;339,000;324,000;297,000;277,000;266,000;249,000;245,000;229,000;222,000;210,000;200,000;182,000;171,000;156,000;139,000;129,000;114,000;103,000;91,000;80,000;67,000;56,000;47,000;35,000;25,000;20,000;12,000;11,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
