year,life_expectancy
1960,86.59
1961,86.62
1962,86.65
1963,86.68
1964,86.72
1965,86.75
1966,86.78
1967,86.82
1968,86.85
1969,86.88
1970,86.92
1971,86.95
1972,86.99
1973,87.02
1974,87.05
1975,87.09
1976,87.12
1977,87.15
1978,87.18
1979,87.21
1980,87.24
1981,87.26
1982,87.28
1984,87.33
1985,87.35
1986,87.36
1987,87.38
1988,87.39
1989,87.41
1990,87.42
1991,87.43
1992,87.44
1993,87.45
1994,87.46
1995,87.47
1996,87.48
1997,87.48
1998,87.49
1999,87.49
2000,87.5
2001,87.5
2002,87.5
2003,87.5
2004,87.5
2005,87.5
2006,87.5
2007,87.5
2008,87.5
2009,87.5
2010,87.5
2011,87.5
2012,87.5
2013,87.5
2014,87.5
2015,87.5
2016,87.5
2017,87.5
2018,87.5
2019,87.5
2020,87.5
2021,87.5
2022,87.5
2023,87.5
