year,life_expectancy
1960,83.22
1961,83.26
1962,83.28
1963,83.33
1964,83.36
1965,83.4
1966,83.43
1967,83.47
1968,83.5
1969,83.53
1970,83.57
1971,83.6
1972,83.64
1973,83.67
1974,83.7
1975,83.74
1976,83.77
1977,83.8
1978,83.84
1979,83.87
1980,83.9
1981,83.92
1982,83.95
1984,84.0
1985,84.03
1986,84.05
1987,84.07
1988,84.09
1989,84.11
1990,84.12
1991,84.14
1992,84.15
1993,84.17
1994,84.18
1995,84.19
1996,84.2
1997,84.21
1998,84.22
1999,84.23
2000,84.23
2001,84.24
2002,84.24
2003,84.24
2004,84.25
2005,84.25
2006,84.25
2007,84.25
2008,84.25
2009,84.25
2010,84.25
2011,84.25
2012,84.25
2013,84.25
2014,84.25
2015,84.25
2016,84.25
2017,84.25
2018,84.25
2019,84.25
2020,84.25
2021,84.25
2022,84.25
2023,84.25
