year;retirement_age
1960;63.9
1961;63.6
1962;63.5
1963;63.9
1964;63.8
1965;63.9
1966;63.9
1967;63.6
1968;63.3
1969;63.3
1970;63.3
1971;63.2
1972;62.7
1973;63.2
1974;63
1975;63
1976;63.2
1977;63.2
1978;63
1979;62.6
1980;61.9
1981;61.5
1982;61.5
1983;61.6
1984;62.8
1985;62.9
1986;63.3
1987;63.6
1988;63.7
1989;63.6
1990;63.5
1991;63.4
1992;63.6
1993;63
1994;62.9
1995;62.5
1996;62.4
1997;62.3
1998;62.2
1999;62.2
2000;62.3
2001;62.5
2002;62.8
2003;62.9
2004;63
2005;63.2
2006;63.2
2007;63
2008;63
2009;62.9
2010;63.3
2011;63.2
2012;63.9
2013;64.2
2014;64.3
2015;64.1
2016;64.2
2017;64.1
2018;64.1
2019;64.5
2020;64.2
2021;64.2
2022;64.4
