year;retirement_age
1960;65.2
1961;65.5
1962;65.2
1963;65.5
1964;65.5
1965;65.4
1966;65.5
1967;65.4
1968;65.1
1969;65.1
1970;65.2
1971;65.2
1972;65.1
1973;64.5
1974;64.3
1975;64.1
1976;63.9
1977;63.8
1978;63.7
1979;63.4
1980;62.5
1981;62.4
1982;62.3
1983;62.4
1984;62.6
1985;62.7
1986;62.7
1987;62.8
1988;62.7
1989;62.7
1990;62.8
1991;62.8
1992;63
1993;63.1
1994;62.7
1995;62.3
1996;62.1
1997;62
1998;62.1
1999;62.1
2000;62.2
2001;62.4
2002;62.6
2003;62.9
2004;63.1
2005;63.1
2006;63.3
2007;63.3
2008;63.4
2009;63.5
2010;63.8
2011;63.8
2012;64
2013;64.1
2014;64
2015;63.9
2016;63.9
2017;64
2018;64
2019;64
2020;64.1
2021;64.1
2022;64.4
