district_code,district_name,total_population,available_beds,beds_per_1000
01001,"Flensburg, kreisfreie Stadt",96326.0,1092.0,11.34
01002,"Kiel, kreisfreie Stadt",252668.0,2297.0,9.09
01003,"Lübeck, kreisfreie Stadt",216889.0,3410.0,15.72
01004,"Neumünster, kreisfreie Stadt",79809.0,1197.0,15.0
01051,"Dithmarschen, Landkreis",133460.0,2118.0,15.87
01053,"Herzogtum Lauenburg, Landkreis",206235.0,2640.0,12.8
01054,"Nordfriesland, Landkreis",170029.0,1992.0,11.72
01055,"Ostholstein, Landkreis",201472.0,3703.0,18.38
01056,"Pinneberg, Landkreis",325223.0,3837.0,11.8
01057,"Plön, Landkreis",130609.0,1687.0,12.92
01058,"Rendsburg-Eckernförde, Landkreis",278058.0,3658.0,13.16
01059,"Schleswig-Flensburg, Landkreis",205472.0,3219.0,15.67
01060,"Segeberg, Landkreis",283562.0,4212.0,14.85
01061,"Steinburg, Landkreis",132731.0,1996.0,15.04
01062,"Stormarn, Landkreis",246974.0,3744.0,15.16
02000,"Hamburg, kreisfreie Stadt",1862565.0,,
03101,"Braunschweig, kreisfreie Stadt",252962.0,3405.0,13.46
03102,"Salzgitter, kreisfreie Stadt",104970.0,1607.0,15.31
03103,"Wolfsburg, kreisfreie Stadt",129560.0,1412.0,10.9
03151,"Gifhorn, Landkreis",175943.0,2212.0,12.57
03152,"Göttingen, Landkreis (bis 31.10.2016)",0.0,,
03153,"Goslar, Landkreis",126775.0,3279.0,25.86
03154,"Helmstedt, Landkreis",90227.0,1682.0,18.64
03155,"Northeim, Landkreis",125623.0,2655.0,21.13
03156,"Osterode am Harz, Landkreis (bis 31.10.2016)",0.0,,
03157,"Peine, Landkreis",137045.0,2147.0,15.67
03158,"Wolfenbüttel, Landkreis",118290.0,1690.0,14.29
03159,"Göttingen, Landkreis",328028.0,5727.0,17.46
03201,"Hannover, kreisfreie Stadt (bis 31.10.2001)",0.0,,
03241,"Region Hannover, Landkreis",1140888.0,16997.0,14.9
03251,"Diepholz, Landkreis",221202.0,3173.0,14.34
03252,"Hameln-Pyrmont, Landkreis",150203.0,3064.0,20.4
03253,"Hannover, Landkreis (bis 31.10.2001)",0.0,,
03254,"Hildesheim, Landkreis",267506.0,4900.0,18.32
03255,"Holzminden, Landkreis",65581.0,1397.0,21.3
03256,"Nienburg (Weser), Landkreis",121468.0,2222.0,18.29
03257,"Schaumburg, Landkreis",156841.0,3835.0,24.45
03351,"Celle, Landkreis",172449.0,3100.0,17.98
03352,"Cuxhaven, Landkreis",198842.0,3309.0,16.64
03353,"Harburg, Landkreis",265864.0,2603.0,9.79
03354,"Lüchow-Dannenberg, Landkreis",46502.0,1147.0,24.67
03355,"Lüneburg, Landkreis",179448.0,2274.0,12.67
