district_code,district_name,total_population,personnel,personnel_per_1000
01001,"Flensburg, kreisfreie Stadt",96326.0,913.0,9.48
01002,"Kiel, kreisfreie Stadt",252668.0,1705.0,6.75
01003,"Lübeck, kreisfreie Stadt",216889.0,2836.0,13.08
01004,"Neumünster, kreisfreie Stadt",79809.0,882.0,11.05
01051,"Dithmarschen, Landkreis",133460.0,1770.0,13.26
01053,"Herzogtum Lauenburg, Landkreis",206235.0,2101.0,10.19
01054,"Nordfriesland, Landkreis",170029.0,1779.0,10.46
01055,"Ostholstein, Landkreis",201472.0,2579.0,12.8
01056,"Pinneberg, Landkreis",325223.0,2645.0,8.13
01057,"Plön, Landkreis",130609.0,1144.0,8.76
01058,"Rendsburg-Eckernförde, Landkreis",278058.0,2832.0,10.18
01059,"Schleswig-Flensburg, Landkreis",205472.0,2755.0,13.41
01060,"Segeberg, Landkreis",283562.0,3077.0,10.85
01061,"Steinburg, Landkreis",132731.0,1627.0,12.26
01062,"Stormarn, Landkreis",246974.0,2800.0,11.34
02000,"Hamburg, kreisfreie Stadt",1862565.0,,
03101,"Braunschweig, kreisfreie Stadt",252962.0,2663.0,10.53
03102,"Salzgitter, kreisfreie Stadt",104970.0,1225.0,11.67
03103,"Wolfsburg, kreisfreie Stadt",129560.0,1232.0,9.51
03151,"Gifhorn, Landkreis",175943.0,1789.0,10.17
03152,"Göttingen, Landkreis (bis 31.10.2016)",0.0,,
03153,"Goslar, Landkreis",126775.0,2397.0,18.91
03154,"Helmstedt, Landkreis",90227.0,1279.0,14.18
03155,"Northeim, Landkreis",125623.0,2195.0,17.47
03156,"Osterode am Harz, Landkreis (bis 31.10.2016)",0.0,,
03157,"Peine, Landkreis",137045.0,1645.0,12.0
03158,"Wolfenbüttel, Landkreis",118290.0,1326.0,11.21
03159,"Göttingen, Landkreis",328028.0,4680.0,14.27
03201,"Hannover, kreisfreie Stadt (bis 31.10.2001)",0.0,,
03241,"Region Hannover, Landkreis",1140888.0,13142.0,11.52
03251,"Diepholz, Landkreis",221202.0,2560.0,11.57
03252,"Hameln-Pyrmont, Landkreis",150203.0,2573.0,17.13
03253,"Hannover, Landkreis (bis 31.10.2001)",0.0,,
03254,"Hildesheim, Landkreis",267506.0,3727.0,13.93
03255,"Holzminden, Landkreis",65581.0,1057.0,16.12
03256,"Nienburg (Weser), Landkreis",121468.0,1825.0,15.02
03257,"Schaumburg, Landkreis",156841.0,2730.0,17.41
03351,"Celle, Landkreis",172449.0,2443.0,14.17
03352,"Cuxhaven, Landkreis",198842.0,2740.0,13.78
03353,"Harburg, Landkreis",265864.0,2012.0,7.57
03354,"Lüchow-Dannenberg, Landkreis",46502.0,934.0,20.09
03355,"Lüneburg, Landkreis",179448.0,1712.0,9.54
03356,"Osterholz, Landkreis",113598.0,1243.0,10.94
03357,"Rotenburg (Wümme), Landkreis",165904.0,1831.0,11.04
03358,Heidekreis,141321.0,1729.0,12.23
03359,"Stade, Landkreis",207700.0,2240.0,10.78
03360,"Uelzen, Landkreis",91638.0,1611.0,17.58
03361,"Verden, Landkreis",138626.0,1954.0,14.1
03401,"Delmenhorst, kreisfreie Stadt",81406.0,735.0,9.03
03402,"Emden, kreisfreie Stadt",49202.0,621.0,12.62
03403,"Oldenburg (Oldenburg), kreisfreie Stadt",176614.0,1548.0,8.76
03404,"Osnabrück, kreisfreie Stadt",166057.0,1672.0,10.07
03405,"Wilhelmshaven, kreisfreie Stadt",75745.0,1185.0,15.64
03451,"Ammerland, Landkreis",127751.0,1317.0,10.31
03452,"Aurich, Landkreis",188816.0,1996.0,10.57
03453,"Cloppenburg, Landkreis",177025.0,2476.0,13.99
03454,"Emsland, Landkreis",334539.0,3214.0,9.61
03455,"Friesland, Landkreis",100411.0,1528.0,15.22
03456,"Grafschaft Bentheim, Landkreis",144543.0,2029.0,14.04
03457,"Leer, Landkreis",169103.0,2065.0,12.21
03458,"Oldenburg, Landkreis",132008.0,1775.0,13.45
03459,"Osnabrück, Landkreis",354821.0,4731.0,13.33
03460,"Vechta, Landkreis",146539.0,1772.0,12.09
03461,"Wesermarsch, Landkreis",88936.0,1277.0,14.36
03462,"Wittmund, Landkreis",55969.0,659.0,11.77
04011,"Bremen, kreisfreie Stadt",586271.0,5664.0,9.66
04012,"Bremerhaven, kreisfreie Stadt",118610.0,908.0,7.66
05111,"Düsseldorf, kreisfreie Stadt",618685.0,4722.0,7.63
05112,"Duisburg, kreisfreie Stadt",502270.0,4857.0,9.67
05113,"Essen, kreisfreie Stadt",574682.0,6786.0,11.81
05114,"Krefeld, kreisfreie Stadt",231406.0,2473.0,10.69
05116,"Mönchengladbach, kreisfreie Stadt",267213.0,2617.0,9.79
05117,"Mülheim an der Ruhr, kreisfreie Stadt",173050.0,1837.0,10.62
05119,"Oberhausen, kreisfreie Stadt",213646.0,1842.0,8.62
05120,"Remscheid, kreisfreie Stadt",113828.0,1223.0,10.74
05122,"Solingen, kreisfreie Stadt",165626.0,2092.0,12.63
05124,"Wuppertal, kreisfreie Stadt",358193.0,4343.0,12.12
05154,"Kleve, Landkreis",322018.0,3567.0,11.08
05158,"Mettmann, Landkreis",490910.0,4815.0,9.81
05162,Rhein-Kreis Neuss,457077.0,4116.0,9.01
05166,"Viersen, Landkreis",297857.0,2954.0,9.92
05170,"Wesel, Landkreis",457918.0,5434.0,11.87
05313,"Aachen, kreisfreie Stadt (bis 20.10.2009)",0.0,,
05314,"Bonn, kreisfreie Stadt",323336.0,3030.0,9.37
05315,"Köln, kreisfreie Stadt",1024621.0,8212.0,8.01
05316,"Leverkusen, kreisfreie Stadt",168581.0,1275.0,7.56
05334,"Städteregion Aachen, Landkreis",582410.0,6266.0,10.76
05354,"Aachen, Landkreis (bis 20.10.2009)",0.0,,
05358,"Düren, Landkreis",279285.0,3362.0,12.04
05362,Rhein-Erft-Kreis,477988.0,3701.0,7.74
05366,"Euskirchen, Landkreis",202609.0,2188.0,10.8
