district_code,district_name,gp_med
01001,"Flensburg, kreisfreie Stadt",6.26
01002,"Kiel, kreisfreie Stadt",6.65
01003,"Lübeck, kreisfreie Stadt",6.82
01004,"Neumünster, kreisfreie Stadt",5.86
01051,"Dithmarschen, Landkreis",6.4
01053,"Herzogtum Lauenburg, Landkreis",6.25
01054,"Nordfriesland, Landkreis",6.65
01055,"Ostholstein, Landkreis",6.85
01056,"Pinneberg, Landkreis",6.14
01057,"Plön, Landkreis",6.95
01058,"Rendsburg-Eckernförde, Landkreis",6.68
01059,"Schleswig-Flensburg, Landkreis",6.16
01060,"Segeberg, Landkreis",5.78
01061,"Steinburg, Landkreis",6.02
01062,"Stormarn, Landkreis",6.04
02000,"Hamburg, kreisfreie Stadt",6.39
03101,"Braunschweig, kreisfreie Stadt",6.51
03102,"Salzgitter, kreisfreie Stadt",5.59
03103,"Wolfsburg, kreisfreie Stadt",5.61
03151,"Gifhorn, Landkreis",5.59
03153,"Goslar, Landkreis",7.37
03154,"Helmstedt, Landkreis",6.02
03155,"Northeim, Landkreis",8.06
03157,"Peine, Landkreis",5.83
03158,"Wolfenbüttel, Landkreis",5.9
03159,"Göttingen, Landkreis",6.99
03241,"Region Hannover, Landkreis",6.7
03251,"Diepholz, Landkreis",5.29
03252,"Hameln-Pyrmont, Landkreis",6.42
03254,"Hildesheim, Landkreis",7.02
03255,"Holzminden, Landkreis",7.47
03256,"Nienburg (Weser), Landkreis",5.59
03257,"Schaumburg, Landkreis",6.33
03351,"Celle, Landkreis",6.61
03352,"Cuxhaven, Landkreis",5.95
03353,"Harburg, Landkreis",5.9
03354,"Lüchow-Dannenberg, Landkreis",6.84
03355,"Lüneburg, Landkreis",6.71
03356,"Osterholz, Landkreis",6.2
03357,"Rotenburg (Wümme), Landkreis",5.71
03358,Heidekreis,5.76
03359,"Stade, Landkreis",5.6
03360,"Uelzen, Landkreis",6.78
03361,"Verden, Landkreis",6.5
03401,"Delmenhorst, kreisfreie Stadt",5.73
03402,"Emden, kreisfreie Stadt",6.2
03403,"Oldenburg (Oldenburg), kreisfreie Stadt",6.13
03404,"Osnabrück, kreisfreie Stadt",6.79
03405,"Wilhelmshaven, kreisfreie Stadt",6.82
03451,"Ammerland, Landkreis",7.22
03452,"Aurich, Landkreis",6.34
03453,"Cloppenburg, Landkreis",5.07
03454,"Emsland, Landkreis",5.61
03455,"Friesland, Landkreis",7.22
03456,"Grafschaft Bentheim, Landkreis",5.3
03457,"Leer, Landkreis",6.36
03458,"Oldenburg, Landkreis",6.13
03459,"Osnabrück, Landkreis",6.19
03460,"Vechta, Landkreis",5.74
03461,"Wesermarsch, Landkreis",5.97
03462,"Wittmund, Landkreis",7.06
04011,"Bremen, kreisfreie Stadt",6.08
04012,"Bremerhaven, kreisfreie Stadt",5.83
05111,"Düsseldorf, kreisfreie Stadt",6.41
05112,"Duisburg, kreisfreie Stadt",5.36
05113,"Essen, kreisfreie Stadt",5.96
05114,"Krefeld, kreisfreie Stadt",6.57
05116,"Mönchengladbach, kreisfreie Stadt",6.17
05117,"Mülheim an der Ruhr, kreisfreie Stadt",5.72
05119,"Oberhausen, kreisfreie Stadt",5.32
05120,"Remscheid, kreisfreie Stadt",6.07
05122,"Solingen, kreisfreie Stadt",5.65
05124,"Wuppertal, kreisfreie Stadt",5.9
05154,"Kleve, Landkreis",5.4
05158,"Mettmann, Landkreis",6.15
05162,Rhein-Kreis Neuss,6.03
05166,"Viersen, Landkreis",6.14
05170,"Wesel, Landkreis",5.68
05314,"Bonn, kreisfreie Stadt",6.52
05315,"Köln, kreisfreie Stadt",6.54
05316,"Leverkusen, kreisfreie Stadt",6.52
05334,"Städteregion Aachen, Landkreis",6.36
05358,"Düren, Landkreis",6.1
05362,Rhein-Erft-Kreis,6.09
05366,"Euskirchen, Landkreis",6.29
05370,"Heinsberg, Landkreis",6.18
05374,Oberbergischer Kreis,5.44
05378,Rheinisch-Bergischer Kreis,5.99
05382,Rhein-Sieg-Kreis,6.31
05512,"Bottrop, kreisfreie Stadt",5.35
05513,"Gelsenkirchen, kreisfreie Stadt",5.38
05515,"Münster, kreisfreie Stadt",6.52
05554,"Borken, Landkreis",5.36
05558,"Coesfeld, Landkreis",6.4
05562,"Recklinghausen, Landkreis",5.51
05566,"Steinfurt, Landkreis",6.2
05570,"Warendorf, Landkreis",5.79
05711,"Bielefeld, kreisfreie Stadt",5.45
05754,"Gütersloh, Landkreis",4.98
05758,"Herford, Landkreis",4.93
05762,"Höxter, Landkreis",6.15
05766,"Lippe, Landkreis",5.18
05770,"Minden-Lübbecke, Landkreis",5.77
05774,"Paderborn, Landkreis",5.32
05911,"Bochum, kreisfreie Stadt",6.03
05913,"Dortmund, kreisfreie Stadt",5.41
05914,"Hagen, kreisfreie Stadt",5.92
05915,"Hamm, kreisfreie Stadt",4.83
05916,"Herne, kreisfreie Stadt",5.58
05954,Ennepe-Ruhr-Kreis,5.84
05958,Hochsauerlandkreis,5.86
05962,Märkischer Kreis,5.61
05966,"Olpe, Landkreis",5.87
05970,"Siegen-Wittgenstein, Landkreis",5.55
05974,"Soest, Landkreis",5.66
05978,"Unna, Landkreis",5.5
06411,"Darmstadt, kreisfreie Stadt",6.58
06412,"Frankfurt am Main, kreisfreie Stadt",6.1
06413,"Offenbach am Main, kreisfreie Stadt",6.19
06414,"Wiesbaden, kreisfreie Stadt",6.57
06431,"Bergstraße, Landkreis",5.98
06432,"Darmstadt-Dieburg, Landkreis",5.04
06433,"Groß-Gerau, Landkreis",5.79
06434,Hochtaunuskreis,5.74
06435,Main-Kinzig-Kreis,5.97
06436,Main-Taunus-Kreis,5.54
06437,Odenwaldkreis,6.74
06438,"Offenbach, Landkreis",5.72
06439,Rheingau-Taunus-Kreis,6.04
06440,Wetteraukreis,6.56
06531,"Gießen, Landkreis",6.96
06532,Lahn-Dill-Kreis,6.5
06533,"Limburg-Weilburg, Landkreis",6.13
06534,"Marburg-Biedenkopf, Landkreis",6.37
06535,Vogelsbergkreis,6.25
06611,"Kassel, kreisfreie Stadt",6.73
06631,"Fulda, Landkreis",6.83
06632,"Hersfeld-Rotenburg, Landkreis",6.83
06633,"Kassel, Landkreis",6.36
06634,Schwalm-Eder-Kreis,5.92
06635,"Waldeck-Frankenberg, Landkreis",6.34
06636,Werra-Meißner-Kreis,5.99
07111,"Koblenz, kreisfreie Stadt",6.91
07131,"Ahrweiler, Landkreis",6.27
07132,"Altenkirchen (Westerwald), Landkreis",6.06
07133,"Bad Kreuznach, Landkreis",6.05
07134,"Birkenfeld, Landkreis",6.38
